<Siege_of_Mantua_(1799)>	Siege of Mantua (1799)
<Monument_to_the_Battle_of_the_Nations>	Monument to the Battle of the Nations
<Battle_of_the_Sabis>	Battle of the Sabis
<Battle_of_Stalingrad>	Battle of Stalingrad
<Battle_of_the_Caucasus>	Battle of the Caucasus
<1984_PKK_attacks>	1984 PKK attacks
<Battle_of_Buggenhout>	Battle of Buggenhout
<Battle_of_Busan_(1592)>	Battle of Busan (1592)
<Battle_of_Booneville>	Battle of Booneville
<Gaspée_Affair>	Gaspée Affair
<Attack_on_the_Sui-ho_Dam>	Attack on the Sui-ho Dam
<de/Gefecht_von_Halle>	Gefecht von Halle
<fr/Prise_de_Fort_l'Écluse>	Prise de Fort l'Ecluse
<de/Gefecht_um_Abemama>	Gefecht um Abemama
<Battle_of_Heliopolis>	Battle of Heliopolis
<Battle_of_Tettenhall>	Battle of Tettenhall
<fr/Bataille_du_confluent>	Bataille du confluent
<Battle_of_Belvoir_Castle_(1182)>	Battle of Belvoir Castle (1182)
<Siege_of_Minamata_Castle>	Siege of Minamata Castle
<Vienna_Uprising>	Vienna Uprising
<Battle_of_Puebla>	Battle of Puebla
<Battle_of_Rozgony>	Battle of Rozgony
<Battle_of_Nadaun>	Battle of Nadaun
<fr/Combat_de_Mellé>	Combat de Mellé
<Tatarbunary_Uprising>	Tatarbunary Uprising
<The_Day_We_Fight_Back>	The Day We Fight Back
<fr/Révolte_de_Mytilène>	Révolte de Mytilène
<Aden_Street_Riots>	Aden Street Riots
<6_June_1975_Micalense_Farmers'_Protest>	6 June 1975 Micalense Farmers' Protest
<Siege_of_Dammaj>	Siege of Dammaj
<Operation_Thunderbolt_(1951)>	Operation Thunderbolt (1951)
<Convoy_TAG_18>	Convoy TAG 18
<Operation_Baytown>	Operation Baytown
<Battle_of_La_Victoria_(1812)>	Battle of La Victoria
<de/Schlacht_von_Chalkedon>	Schlacht von Chalkedon
<Ingham_incident>	Ingham incident
<fr/Bataille_de_Qorahe>	Bataille de Qorahe
<Battle_of_Monck's_Corner>	Battle of Monck's Corner
<Shusha_massacre>	Shusha massacre
<Siege_of_Hull_(1642)>	Siege of Hull (1642)
<Siege_of_Harfleur>	Siege of Harfleur
<Battle_of_Dunbar_(1650)>	Battle of Dunbar (1650)
<Kramatorsk_standoff>	Kramatorsk standoff
<Battle_of_Klissow>	Battle of Klissow
<Battle_of_Kandahar>	Battle of Kandahar
<nl/Tweede_Münsterse_Oorlog>	Tweede Münsterse Oorlog
<Battle_of_Saraqeb>	Battle of Saraqeb
<Barracks_emperor>	Barracks emperor
<nl/Beleg_van_Bredevoort_(1278)>	Beleg van Bredevoort (1278)
<de/Schlacht_von_Steyr>	Schlacht von Steyr
<Capture_of_HMS_Cyane>	Capture of HMS Cyane
<Siege_of_Tyana>	Siege of Tyana
<fr/Bataille_de_Funchal>	Bataille de Funchal
<fr/Combat_du_cap_Saint-Vincent_(1606)>	Combat du cap Saint-Vincent
<Indian_Ocean_raid>	Indian Ocean campaigns
<Oradour-sur-Glane_massacre_of_1944>	Oradour-sur-Glane massacre of 1944
<2011_Malawian_protests>	2011 Malawian protests
<it/Battaglia_di_Anzio_(484_a.C.)>	Battaglia di Anzio
<1985_Beirut_car_bombing>	1985 Beirut car bombing
<de/Winterthurer_Ereignisse>	Winterthurer Ereignisse
<fr/Bataille_de_Saint-Denis-la-Chevasse>	Bataille de Saint-Denis-la-Chevasse
<Victorio's_War>	Victorio's War
<Treaty_of_Pereyaslav_(1630)>	Treaty of Pereyaslav
<Anbar_clashes_(2013–14)>	Anbar clashes
<Battle_of_Heartbreak_Ridge>	Battle of Heartbreak Ridge
<Siege_of_Constantinople_(1411)>	Siege of Constantinople
<Battle_of_Kinburn_(1787)>	Battle of Kinburn (1787)
<it/Battaglia_di_Agordat>	Battaglia di Agordat
<fr/Siège_de_Troyes>	Siège de Troyes
<Battle_of_Basra_(1914)>	Battle of Basra (1914)
<Bombing_of_Königsberg_in_World_War_II>	Bombing of Koenigsberg in World War II
<First_Italian_War_of_Independence>	First Italian War of Independence
<fr/Prise_d'Oran>	Prise d'Oran
<Corporals_killings>	Corporals killings
<Battle_of_Hohenlinden>	Battle of Hohenlinden
<fr/Combat_de_Peterswalde>	Combat de Peterswalde
<Battle_of_Pecos_River>	Battle of Pecos River
<Battle_of_Lone_Pine>	Battle of Lone Pine
<Battle_of_Niså>	Battle of Nisa
<Battle_of_Ain_Jalut>	Battle of Ain Jalut
<Battle_of_Sitka>	Battle of Sitka
<de/Belagerung_von_Famagusta>	Belagerung von Famagusta
<de/Schlacht_von_Hausbergen>	Schlacht von Hausbergen
<Battle_of_the_Mississinewa>	Battle of the Mississinewa
<Battle_of_Morval>	Battle of Morval
<First_Battle_of_Mora>	First Battle of Mora
<Battle_of_Adasa>	Battle of Adasa
<Livonian_Crusade>	Livonian Crusade
<Battle_of_Kham_Duc>	Battle of Kham Duc
<Battle_of_Bloody_Marsh>	Battle of Bloody Marsh
<Battle_of_Casal_Novo>	Battle of Casal Novo
<Siege_of_Almeida_(1762)>	Siege of Almeida (1762)
<Rio_de_Janeiro_Affair>	Rio de Janeiro Affair
<Battle_of_Block_Island>	Battle of Block Island
<Battle_of_Wauhatchie>	Battle of Wauhatchie
<Siege_of_Iwaya_Castle>	Siege of Iwaya Castle
<Operation_Obviate>	Operation Obviate
<Capture_of_the_Paquete_de_Maule>	Capture of the Paquete de Maule
<fr/Bataille_de_Tamassi>	Bataille de Tamassi
<Conquest_of_the_Khanate_of_Sibir>	Conquest of the Khanate of Sibir
<Croatian_War_of_Independence>	Patriotic War
<Battle_of_Maclodio>	Battle of Maclodio
<Étaples_Mutiny>	Etaples Mutiny
<Battle_of_Sailor's_Creek>	Battle of Sailor's Creek
<Battle_of_White_Hall>	Battle of White Hall
<Battle_of_Saranda>	Battle of Saranda
<Operation_Scorched_Earth>	Operation Scorched Earth
<Flagstaff_hill_incident>	Flagstaff hill incident
<Battle_of_Rumaila>	Battle of Rumaila
<Battle_of_Praszka>	Battle of Praszka
<Battle_of_Kiev_(1941)>	Battle of Kiev
<1923_Kraków_riot>	1923 Krakow riot
<Sivas_massacre>	Sivas massacre
<Battle_of_La_Motta_(1513)>	Battle of La Motta (1513)
<Capture_of_Tucson_(1862)>	Capture of Tucson
<Battle_of_Puerto_Caballos_(1603)>	Battle of Puerto Caballos (1603)
<Jarbidge_Stage_Robbery>	Jarbidge Stage Robbery
<Siege_of_Venlo_(1637)>	Siege of Venlo
<Baranovichi_Offensive>	Baranovichi Offensive
<Battle_of_Caer_Caradoc>	Battle of Caer Caradoc
<de/Schlacht_bei_Vögelinsegg>	Schlacht bei Vögelinsegg
<de/Schlacht_bei_Kissingen>	Schlacht bei Kissingen
<Battle_of_Loch_Ryan>	Battle of Loch Ryan
<Rineen_Ambush>	Rineen Ambush
<it/Conquista_dell'Italia_di_Teodorico>	Conquista dell'Italia di Teodorico
<Battle_of_Groix>	Battle of Groix
<fr/Bataille_de_l'Anse-aux-Papillons>	Bataille de l'Anse-aux-Papillons
<Battle_of_Salem_Church>	Battle of Salem Church
<fr/Bataille_de_Ber>	Bataille de Ber
<Battle_of_Punta_Gruesa>	Battle of Punta Gruesa
<Battle_of_Bạch_Đằng_(981)>	Battle of Bạch Đằng
<Battle_of_Cool_Spring>	Battle of Cool Spring
<Siege_of_Burgdorf>	Siege of Burgdorf
<Operation_Rana_Gosa>	Operation Rana Gosa
<Raid_on_Black_Rock>	Raid on Black Rock
<nl/West-Friese_Oorlogen>	West-Friese Oorlogen
<Siege_of_Cardiff>	Siege of Cardiff
<Battle_of_the_Belly_River>	Battle of the Belly River
<Tibet-Ladakh-Mughal_war_of_1679-1684>	Tibet-Ladakh-Mughal war of 1679-1684
<2012_Syrian–Turkish_border_clashes>	2012 Syrian–Turkish border clashes
<Battle_of_Killdeer_Mountain>	Battle of Killdeer Mountain
<Battle_of_Guerrero>	Battle of Guerrero
<Battle_of_Kalisz>	Battle of Kalisz
<Destruction_of_Neuss>	Destruction of Neuss
<Spanish_conquest_of_the_Kingdom_of_Q'umarkaj>	Spanish conquest of the Kingdom of Q'umarkaj
<fr/Opération_Oiseau_bleu>	Opération Oiseau bleu
<Action_of_Faial>	Action of Faial
<Manila_Peninsula_siege>	Manila Peninsula siege
