<Howard_University_Press>	Howard University Press
<Grupo_Reforma>	Grupo Reforma
<Alberta_Wheat_Pool>	Alberta Wheat Pool
<Carlyle_Group>	Carlyle Group
<Samson_Tractor>	Samson Tractor
<Birchfield_(car)>	Birchfield
<Norfolk_Southern_Railway_(1942–82)>	Norfolk Southern Railway (1942-82)
<Jōsō_Line>	Jōsō Line
<East_African_Airways_destinations>	East African Airways destinations
<Gmeinder>	Gmeinder
<Renault_España>	Renault Espana
<Eagle_Bus>	Eagle Bus
<Burma_Railway>	Burma Railway
<de/Cassell_(Automarke)>	Cassell (Automarke)
<de/Lenze_Gruppe>	Lenze Gruppe
<National_Railway>	National Railway
<Brevik_Line>	Brevik Line
<de/Jet_Executive_International_Charter>	Jet Executive International Charter
<Yorkrail>	Yorkrail
<Woodrow_(automobile)>	Woodrow
<de/Turmix>	Turmix
<Grupo_ABTV>	Grupo ABTV
<Reflexive_Entertainment>	Reflexive
<Flyant>	Flyant
<de/Hensel_(Unternehmen)>	Hensel
<Drägerwerk>	Draegerwerk
<Hughes_&_Kettner>	Hughes & Kettner
<Motobi>	Motobi
<Martin's_BBQ>	Martin's BBQ
<Messier_(automobile)>	Messier
<de/Stahlindustrie>	Stahlindustrie
<Arcus-Air_Logistic>	Arcus-Air Logistic
<Zone_Coopérative_de_l'Université_Laval>	Zone Coopérative de l'Université Laval
<Hararit>	Hararit
<de/Köckerling>	Köckerling
<de/Cornelsen_Verlag>	Cornelsen Verlag
<PennWell>	PennWell
<Spirit_of_Manila_Airlines>	Spirit of Manila Airlines
<Anticon>	It's not easy being green
<Iloilo-Negros_Air_Express>	Iloilo-Negros Air Express
<Sursee–Triengen_railway>	Sursee–Triengen railway
<nl/Spoorlijn_Mülheim-Styrum_-_Oberhausen>	Spoorlijn Muelheim-Styrum - Oberhausen
<VolaSalerno>	VolaSalerno
<Bongiovanni_(record_label)>	Bongiovanni
<Biscúter>	Biscúter
<Blue_Microphones>	Blue Microphones
<Girls_Gone_By_Publishers>	Girls Gone By Publishers
<nl/Spoorlijn_Neersen_-_Viersen>	Spoorlijn Neersen - Viersen
<de/Sondergard_Automotive>	Sondergard Automotive
<Emerald_Air_(1995)>	Emerald Air
<de/Bahnstrecke_Kiel-Oppendorf–Ostuferhafen>	Bahnstrecke Kiel-Oppendorf–Ostuferhafen
<de/Librairie_orientaliste_Paul_Geuthner>	Librairie orientaliste Paul Geuthner
<Metropolitan_Crosstown_Line>	Metropolitan Crosstown Line
<Šumperk–Krnov_railway>	Šumperk–Krnov railway
<The_Hoito>	The Hoito
<Harbottle_&_Lewis>	Harbottle & Lewis
<de/Cunningham_(Auto)>	Cunningham
<Les_Nickelettes>	Les Nickelettes
<Bumble_Hole_Line>	Bumble Hole Line
<UNStudio>	UNStudio
<de/Bahnstrecke_Prenzlau–Klockow>	Bahnstrecke Prenzlau-Klockow
<fr/Erasme_(maison_d'édition)>	Erasme
<fr/Tramways_des_Deux-Sèvres>	Tramways des Deux-Sèvres
<State_Management_Scheme>	State Management Scheme
<Ammersee_Railway>	Ammersee Railway
<Continental_Micronesia>	Continental Micronesia
<DC_Shoes>	DC Shoes
<Avrett_Free_Ginsberg>	Avrett Free Ginsberg
<de/La_Voiture_Électrique_Védrine>	La Voiture Électrique Védrine
<de/Moll-Werke>	Moll-Werke
<West_Coast_Airlines>	West Coast Airlines
<Fly_Synthesis>	Fly Synthesis
<Lapeer_Industrial_Railroad>	Lapeer Industrial Railroad
<Weedon_to_Marton_Junction_Line>	Weedon to Marton Junction Line
<Barloworld_Scientific>	Barloworld Scientific
<Oregon_State_University_Press>	Oregon State University Press
<de/Claeys_Flandria>	Claeys Flandria
<Tamasu_(corporation)>	Tamasu
<de/Exel_Industries>	Exel Industries
<de/NWB_Verlag>	NWB Verlag
<Moretti_Motor_Company>	Moretti Motor Company
<MAT_Industries,_LLC>	MAT Industries, LLC
<Anadol>	Anadol
<de/Bruder_(Spielwarenhersteller)>	Bruder (Spielwarenhersteller)
<fr/Bamboo_Édition>	Bamboo Édition
<de/Ramal_do_Poço_Fundo>	Ramal do Poco Fundo
<Jennifer_Convertibles>	Jennifer Convertibles
<Royal_Air_Maroc>	Royal Air Maroc
<Cannes_Mandelieu_Space_Center>	Cannes Mandelieu Space Center
<Purdue_University_Press>	Purdue University Press
<Books_Kinokuniya>	Books Kinokuniya
<Self_(company)>	Self (company)
<de/Schrodaer_Kreisbahn>	Schrodaer Kreisbahn
<RMG_Connect>	RMG Connect
<Imagineer_(Japanese_company)>	Imagineer
<Greylock_Partners>	Greylock Partners
<Galician_Transversal_Railway>	Galician Transversal Railway
<Varallo–Novara_railway>	Varallo–Novara railway
<ElbaFly>	ElbaFly
<Leyland_Motors>	Leyland Motors
<nl/Finch_(automerk)>	Finch (automerk)
<fr/W.A.B.>	W.A.B.
<M101_railway_(Croatia)>	M101 railway (Croatia)
<Holden_New_Zealand>	Holden New Zealand
<de/Straßenbahn_Colmar>	Strassenbahn Colmar
<Rochdale_(car)>	Rochdale
<de/Kibri>	Kibri
<nl/Berkut_Air_Services>	Berkut Air Services
<Automobili_Stanguellini>	Automobili Stanguellini
<fr/Goupy_(entreprise)>	Goupy
<Jet_Asia>	Jet Asia
<Paris-Rhône>	Paris-Rhône
<Wizz_Air_Serbia>	Wizz Air Serbia
<de/Zahnärztlicher_Notdienst>	Zahnärztlicher Notdienst
<Narrow_gauge_railways_in_Poland>	Narrow gauge railways in Poland
<Yale_Publishing_Course>	Yale Publishing Course
<Líneas_Aéreas_Privadas_Argentinas>	Líneas Aéreas Privadas Argentinas
<JR_Kobe_Line>	JR Kobe Line
<Narrow_gauge_railways_in_Turkey>	Narrow gauge railways in Turkey
<Slovenian_Spirit>	Slovenian Spirit
<The_Law_Offices_of_Sam_Bernstein>	The Law Offices of Sam Bernstein
<Robinson_Sheppard_Shapiro>	Robinson Sheppard Shapiro
