class, instance count, class indegree, class outdegree, classInstanceIndegreeMin,	classInstanceIndegreeAvg, classInstanceIndegreeMedian, classInstanceIndegreeMax, classInstanceOutdegreeMin,	classInstanceOutdegreeAvg, classInstanceOutdegreeMedian, classInstanceOutdegreeMax
concept:book, 8518, 8532, 70, 1, 1.3047752809, 1.0, 7, 1, 1.48673397511, 1.0, 15
concept:building, 1260, 1334, 86, 1, 1.90476190476, 1.0, 6, 1, 1.29444444444, 1.0, 12
concept:person, 5344, 5593, 63, 1, 1.80427046263, 1.0, 32, 1, 1.63510479042, 1.0, 68
concept:skiarea, 27357, 27369, 80, 1, 1.89928057554, 1.0, 15, 1, 1.83543517199, 2.0, 11
concept:country, 5929, 6026, 100, 1, 21.9409937888, 7.0, 997, 1, 1.46348456738, 1.0, 187
concept:river, 23764, 23823, 87, 1, 3.58221024259, 2.0, 93, 1, 1.44685238175, 1.0, 36
concept:musicalbum, 5368, 5379, 71, 1, 1.42105263158, 1.0, 3, 1, 1.23826378539, 1.0, 4
concept:politicalparty, 8888, 8888, 72, 1, 1.46153846154, 1.0, 5, 1, 1.2145589559, 1.0, 15
concept:city, 18671, 18789, 101, 1, 5.69489624229, 2.0, 601, 1, 1.73284773178, 1.0, 227
concept:geopoliticallocation, 5663, 5707, 77, 1, 2.9020979021, 1.0, 23, 1, 1.56012714109, 1.0, 24
concept:militaryconflict, 9038, 9038, 79, 15, 15.0, 15.0, 15, 1, 1.39112635539, 1.0, 3
concept:planet, 205, 263, 77, 0, 0.0, 0.0, 0, 1, 1.05365853659, 1.0, 2
concept:celebrity, 23425, 23436, 68, 1, 1.62972292191, 1.0, 31, 1, 3.27299893276, 3.0, 64
concept:vehicle, 6114, 6149, 83, 1, 1.73076923077, 1.0, 7, 1, 1.06591429506, 1.0, 8
concept:event, 14, 324, 63, 0, 0.0, 0.0, 0, 1, 1.78571428571, 2.0, 3
concept:location, 50, 317, 96, 1, 1.25, 1.0, 2, 1, 1.9, 2.0, 6
concept:actor, 29294, 29319, 78, 1, 1.3, 1.0, 7, 1, 2.87106574725, 3.0, 20
concept:time, 2460, 2752, 62, 0, 0.0, 0.0, 0, 1, 1.01178861789, 1.0, 2
concept:sportsevent, 2819, 2845, 79, 0, 0.0, 0.0, 0, 1, 1.33132316424, 1.0, 3
concept:humanagent, 1, 30, 85, 2, 2.0, 2.0, 2, 1, 1.0, 1.0, 1
concept:chemical, 22150, 22440, 83, 1, 6.08626198083, 2.0, 175, 1, 1.31914221219, 1.0, 149
concept:musicsong, 12821, 12830, 69, 1, 1.83333333333, 1.0, 6, 1, 1.13727478356, 1.0, 10
concept:beach, 34502, 34548, 80, 1, 1.58333333333, 1.0, 4, 1, 1.02625934728, 1.0, 6
concept:sport, 5850, 6154, 63, 1, 40.2985074627, 2.0, 1649, 1, 1.46871794872, 1.0, 180
concept:movie, 6627, 6646, 71, 1, 1.51282051282, 1.0, 10, 1, 1.00845027916, 1.0, 4
concept:governmentorganization, 27739, 27742, 73, 1, 1.8835978836, 1.0, 49, 1, 1.09812898807, 1.0, 64
concept:street, 25288, 25352, 86, 1, 1.66666666667, 1.0, 3, 1, 1.5068411895, 1.0, 4
concept:visualizableobject, 2372, 2499, 62, 1, 9.96666666667, 1.0, 205, 1, 1.38490725126, 1.0, 192
concept:agent, 41, 216, 100, 1, 1.0, 1.0, 1, 1, 2.41463414634, 2.0, 10
concept:software, 5725, 5740, 80, 1, 1.66176470588, 1.0, 14, 1, 1.26270742358, 1.0, 3
concept:politician, 9137, 9172, 80, 1, 4.85714285714, 1.0, 142, 1, 1.6933347926, 1.0, 147
concept:creativework, 1, 294, 62, 0, 0.0, 0.0, 0, 1, 1.0, 1.0, 1
concept:ethnicgroup, 6144, 6430, 63, 1, 1.42105263158, 1.0, 5, 1, 1.11376953125, 1.0, 6
concept:visualizablething, 5409, 5444, 16, 1, 7.13485477178, 3.0, 334, 1, 2.16010353115, 1.0, 693
concept:director, 27570, 27593, 82, 1, 1.67647058824, 1.0, 8, 1, 1.41305767138, 1.0, 12
concept:athlete, 19650, 19708, 81, 1, 1.87202380952, 1.0, 20, 1, 2.65679389313, 2.0, 36
concept:abstractthing, 0, 104, 7, 0, 0.0, 0.0, 0, 0, 0.0, 0.0, 0
concept:species, 0, 145, 60, 0, 0.0, 0.0, 0, 0, 0.0, 0.0, 0
concept:male, 23278, 23291, 64, 1, 2.16806722689, 1.0, 50, 1, 3.02603316436, 3.0, 64
concept:airport, 23720, 23742, 96, 1, 1.69230769231, 1.0, 7, 1, 1.42301854975, 1.0, 9
concept:militaryeventtype, 142, 170, 79, 1, 1.66666666667, 2.0, 2, 1, 1.22535211268, 1.0, 5
concept:company, 6125, 6190, 87, 1, 3.64611872146, 1.0, 613, 1, 1.53991836735, 1.0, 226
concept:geopoliticalentity, 0, 205, 61, 0, 0.0, 0.0, 0, 0, 0.0, 0.0, 0
