class, instance count, class indegree, class outdegree, classInstanceIndegreeMin,	classInstanceIndegreeAvg, classInstanceIndegreeMedian, classInstanceIndegreeMax, classInstanceOutdegreeMin,	classInstanceOutdegreeAvg, classInstanceOutdegreeMedian, classInstanceOutdegreeMax
<http://sw.opencyc.org/concept/Mx4rvVi--5wpEbGdrcN5Y29ycA>, 376, 439, 23, 0, 0.0, 0.0, 0, 4, 7.42287234043, 7.0, 24
<http://sw.opencyc.org/concept/Mx4rvVjUgJwpEbGdrcN5Y29ycA>, 0, 13, 21, 0, 0.0, 0.0, 0, 0, 0.0, 0.0, 0
<http://sw.opencyc.org/concept/Mx4rv33BppwpEbGdrcN5Y29ycA>, 2, 8, 18, 0, 0.0, 0.0, 0, 5, 10.5, 10.5, 16
<http://sw.opencyc.org/concept/Mx4rwQwcZ5wpEbGdrcN5Y29ycA>, 0, 1, 17, 0, 0.0, 0.0, 0, 0, 0.0, 0.0, 0
<http://sw.opencyc.org/concept/Mx4rvVjntpwpEbGdrcN5Y29ycA>, 141, 162, 24, 0, 0.0, 0.0, 0, 4, 8.39716312057, 8.0, 20
<http://sw.opencyc.org/concept/Mx4rwPySLpwpEbGdrcN5Y29ycA>, 9, 22, 11, 0, 0.222222222222, 0.0, 2, 4, 6.88888888889, 7.0, 9
<http://sw.opencyc.org/concept/Mx4rvVj82pwpEbGdrcN5Y29ycA>, 35, 49, 23, 0, 4.11428571429, 0.0, 70, 4, 10.6571428571, 11.0, 19
<http://sw.opencyc.org/concept/Mx4rvViPO5wpEbGdrcN5Y29ycA>, 0, 117, 26, 0, 0.0, 0.0, 0, 0, 0.0, 0.0, 0
<http://sw.opencyc.org/concept/Mx4rv4C-JZwpEbGdrcN5Y29ycA>, 48, 50, 18, 0, 0.0, 0.0, 0, 7, 9.8125, 9.0, 17
<http://sw.opencyc.org/concept/Mx4rvVjVQJwpEbGdrcN5Y29ycA>, 0, 167, 39, 0, 0.0, 0.0, 0, 0, 0.0, 0.0, 0
<http://sw.opencyc.org/concept/Mx4r1-G8dDi8Ed2AAAACs6hRXg>, 0, 7, 8, 0, 0.0, 0.0, 0, 0, 0.0, 0.0, 0
<http://sw.opencyc.org/concept/Mx4rvVjZ_ZwpEbGdrcN5Y29ycA>, 4109, 4147, 22, 0, 0.0141153565344, 0.0, 10, 4, 5.16062302263, 5.0, 28
<http://sw.opencyc.org/concept/Mx4rvWXYgJwpEbGdrcN5Y29ycA>, 11743, 12959, 32, 0, 4.04130120072, 0.0, 4147, 6, 15.3828663885, 13.0, 144
<http://sw.opencyc.org/concept/Mx4rvVkH_ZwpEbGdrcN5Y29ycA>, 4, 347, 24, 0, 0.0, 0.0, 0, 6, 10.0, 10.0, 14
<http://sw.opencyc.org/concept/Mx4rvViAw5wpEbGdrcN5Y29ycA>, 19, 267, 54, 0, 0.0, 0.0, 0, 4, 8.42105263158, 8.0, 21
<http://sw.opencyc.org/concept/Mx4rvVj7KJwpEbGdrcN5Y29ycA>, 83, 186, 36, 0, 0.0, 0.0, 0, 4, 9.06024096386, 8.0, 24
<http://sw.opencyc.org/concept/Mx4rrPJDpCTfQdeS8IqP1a0lBw>, 174, 189, 22, 0, 107.379310345, 0.0, 4518, 4, 11.4367816092, 9.0, 27
<http://sw.opencyc.org/concept/Mx4rwLmi3JwpEbGdrcN5Y29ycA>, 284, 288, 16, 0, 0.0422535211268, 0.0, 12, 4, 6.19718309859, 7.0, 11
<http://sw.opencyc.org/concept/Mx4rwJaXepwpEbGdrcN5Y29ycA>, 0, 6, 26, 0, 0.0, 0.0, 0, 0, 0.0, 0.0, 0
<http://sw.opencyc.org/concept/Mx4rvViADZwpEbGdrcN5Y29ycA>, 8, 1604, 55, 0, 0.0, 0.0, 0, 4, 4.25, 4.0, 5
<http://sw.opencyc.org/concept/Mx4r-n4BEPzcQdaYSaNf0XKNIw>, 0, 3, 9, 0, 0.0, 0.0, 0, 0, 0.0, 0.0, 0
<http://sw.opencyc.org/concept/Mx4rvViq35wpEbGdrcN5Y29ycA>, 4122, 4582, 21, 0, 2.22610383309, 0.0, 241, 6, 13.6001940805, 11.0, 115
<http://sw.opencyc.org/concept/Mx4rwP3teJwpEbGdrcN5Y29ycA>, 17, 24, 21, 0, 0.0588235294118, 0.0, 1, 4, 6.76470588235, 7.0, 14
<http://sw.opencyc.org/concept/Mx4rwAXXLZwpEbGdrcN5Y29ycA>, 0, 17, 13, 0, 0.0, 0.0, 0, 0, 0.0, 0.0, 0
<http://sw.opencyc.org/concept/Mx4rvVjnZ5wpEbGdrcN5Y29ycA>, 5243, 5326, 33, 0, 0.316803356857, 0.0, 491, 4, 13.524508869, 14.0, 26
<http://sw.opencyc.org/concept/Mx4rvVjQs5wpEbGdrcN5Y29ycA>, 8, 8, 12, 0, 0.875, 1.0, 1, 7, 12.875, 13.0, 15
<http://sw.opencyc.org/concept/Mx4rvVjE1pwpEbGdrcN5Y29ycA>, 1, 330, 65, 0, 0.0, 0.0, 0, 4, 4.0, 4.0, 4
<http://sw.opencyc.org/concept/Mx4rvViAkpwpEbGdrcN5Y29ycA>, 1719, 3752, 91, 0, 0.0942408376963, 0.0, 60, 4, 6.20826061664, 7.0, 22
<http://sw.opencyc.org/concept/Mx4rvVim7ZwpEbGdrcN5Y29ycA>, 5, 167, 49, 0, 0.0, 0.0, 0, 5, 6.6, 7.0, 7
<http://sw.opencyc.org/concept/Mx4rvVj-r5wpEbGdrcN5Y29ycA>, 12, 26, 27, 0, 0.0, 0.0, 0, 4, 9.0, 7.0, 28
<http://sw.opencyc.org/concept/Mx4rvVjvKZwpEbGdrcN5Y29ycA>, 3, 7, 21, 0, 0.0, 0.0, 0, 8, 11.3333333333, 8.0, 18
<http://sw.opencyc.org/concept/Mx4rvVinb5wpEbGdrcN5Y29ycA>, 28, 1033, 28, 0, 12.3928571429, 0.0, 218, 4, 5.64285714286, 5.0, 9
