class, instance count, class indegree, class outdegree, classInstanceIndegreeMin,	classInstanceIndegreeAvg, classInstanceIndegreeMedian, classInstanceIndegreeMax, classInstanceOutdegreeMin,	classInstanceOutdegreeAvg, classInstanceOutdegreeMedian, classInstanceOutdegreeMax
<http://www.wikidata.org/entity/Q215627>, 0, 2, 0, 9999999, 0.0, 0.0, 0, 9999999, 0.0, 0.0, 0
<http://www.wikidata.org/entity/Q2526255>, 0, 4, 0, 9999999, 0.0, 0.0, 0, 9999999, 0.0, 0.0, 0
<http://www.wikidata.org/entity/Q673661>, 0, 0, 0, 9999999, 0.0, 0.0, 0, 9999999, 0.0, 0.0, 0
<http://www.wikidata.org/entity/Q1970725>, 0, 0, 0, 9999999, 0.0, 0.0, 0, 9999999, 0.0, 0.0, 0
<http://www.wikidata.org/entity/Q6999>, 0, 0, 0, 9999999, 0.0, 0.0, 0, 9999999, 0.0, 0.0, 0
<http://www.wikidata.org/entity/Q7432>, 0, 11, 0, 9999999, 0.0, 0.0, 0, 9999999, 0.0, 0.0, 0
<http://www.wikidata.org/entity/Q7278>, 0, 2, 0, 9999999, 0.0, 0.0, 0, 9999999, 0.0, 0.0, 0
<http://www.wikidata.org/entity/Q223557>, 0, 0, 0, 9999999, 0.0, 0.0, 0, 9999999, 0.0, 0.0, 0
<http://www.wikidata.org/entity/Q1248784>, 0, 0, 0, 9999999, 0.0, 0.0, 0, 9999999, 0.0, 0.0, 0
<http://www.wikidata.org/entity/Q5>, 112, 229, 0, 7, 76.1160714286, 62.5, 260, 82, 387.75, 350.0, 1102
<http://www.wikidata.org/entity/Q1420>, 0, 0, 0, 9999999, 0.0, 0.0, 0, 9999999, 0.0, 0.0, 0
<http://www.wikidata.org/entity/Q386724>, 0, 4, 0, 9999999, 0.0, 0.0, 0, 9999999, 0.0, 0.0, 0
<http://www.wikidata.org/entity/Q17519152>, 0, 0, 0, 9999999, 0.0, 0.0, 0, 9999999, 0.0, 0.0, 0
<http://www.wikidata.org/entity/Q3010205>, 0, 0, 0, 9999999, 0.0, 0.0, 0, 9999999, 0.0, 0.0, 0
<http://www.wikidata.org/entity/Q327333>, 0, 0, 0, 9999999, 0.0, 0.0, 0, 9999999, 0.0, 0.0, 0
<http://www.wikidata.org/entity/Q11446>, 0, 0, 0, 9999999, 0.0, 0.0, 0, 9999999, 0.0, 0.0, 0
<http://www.wikidata.org/entity/Q4167410>, 3, 6, 0, 12, 29.3333333333, 24.0, 52, 446, 460.333333333, 465.0, 470
<http://www.wikidata.org/entity/Q8205328>, 0, 0, 0, 9999999, 0.0, 0.0, 0, 9999999, 0.0, 0.0, 0
<http://www.wikidata.org/entity/Q337060>, 0, 0, 0, 9999999, 0.0, 0.0, 0, 9999999, 0.0, 0.0, 0
<http://www.wikidata.org/entity/Q2066131>, 0, 0, 0, 9999999, 0.0, 0.0, 0, 9999999, 0.0, 0.0, 0
<http://www.wikidata.org/entity/Q198>, 1, 7, 0, 113, 113.0, 113.0, 113, 355, 355.0, 355.0, 355
<http://www.wikidata.org/entity/Q130003>, 0, 0, 0, 9999999, 0.0, 0.0, 0, 9999999, 0.0, 0.0, 0
<http://www.wikidata.org/entity/Q4022>, 10, 20, 0, 28, 83.3, 84.5, 164, 178, 368.7, 370.0, 554
<http://www.wikidata.org/entity/Q7397>, 0, 0, 0, 9999999, 0.0, 0.0, 0, 9999999, 0.0, 0.0, 0
<http://www.wikidata.org/entity/Q1656682>, 0, 0, 0, 9999999, 0.0, 0.0, 0, 9999999, 0.0, 0.0, 0
<http://www.wikidata.org/entity/Q795052>, 0, 0, 0, 9999999, 0.0, 0.0, 0, 9999999, 0.0, 0.0, 0
<http://www.wikidata.org/entity/Q1084>, 0, 0, 0, 9999999, 0.0, 0.0, 0, 9999999, 0.0, 0.0, 0
<http://www.wikidata.org/entity/Q4167836>, 1, 4, 0, 409, 409.0, 409.0, 409, 688, 688.0, 688.0, 688
